Page total likes;Type;Category;Post Month;Post Weekday;Post Hour;Paid;Post Total Reach;Post Total Impressions;Comments;Likes;Shares
138185;Photo;Action;11;1;3;0;3416;6167;19;77;23
138185;Photo;Action;11;7;11;0;2149;4120;0;48;7
138185;Photo;Action;11;7;3;1;53456;93790;20;697;70
138185;Photo;Action;11;6;11;0;2168;3891;0;53;17
137893;Photo;Action;11;6;3;0;3102;5939;7;84;28
137893;Photo;Action;11;5;10;1;39344;103050;7;146;9
137893;Video;Action;11;5;3;1;100768;220447;17;449;84
137893;Status;Inspiration;11;4;11;0;9056;16362;3;226;44
137893;Photo;Action;11;4;2;1;11444;46054;14;172;47
137893;Video;Action;11;3;11;0;13544;30235;2;99;13
137893;Photo;Action;11;3;2;1;37376;68610;20;411;74
137893;Photo;Action;11;3;2;0;1228;2392;0;0;0
137177;Photo;Action;11;1;10;0;22984;59040;4;85;8
137177;Photo;Product;11;1;3;0;1445;2774;0;56;8
137177;Photo;Action;11;7;12;0;3754;8533;2;29;7
137177;Status;Product;11;7;3;0;8728;17827;2;86;13
137177;Photo;Inspiration;11;6;10;0;5990;11123;18;370;53
137177;Photo;Action;11;6;3;0;4582;9193;5;190;57
137177;Photo;Inspiration;11;5;10;1;2938;5799;2;101;19
137177;Status;Inspiration;11;5;2;0;6692;13092;2;99;16
137177;Photo;Action;11;4;9;1;2566;5244;10;140;8
137177;Link;Action;11;4;3;0;21176;54779;2;130;31
137177;Photo;Inspiration;11;3;10;0;4012;7955;3;270;38
137177;Photo;Action;11;3;3;0;1531;2838;3;30;6
137059;Photo;Action;11;2;11;1;2938;6056;2;107;17
137059;Photo;Action;11;2;3;0;24720;37240;13;331;77
137059;Photo;Product;11;1;9;0;2219;4545;0;78;13
137059;Photo;Inspiration;11;1;3;0;4732;9303;9;301;32
137059;Photo;Inspiration;11;7;9;0;2225;4239;2;111;16
137059;Photo;Product;11;7;4;0;2626;4943;2;124;22
137059;Photo;Inspiration;10;6;10;0;3090;5744;5;153;27
137059;Photo;Action;10;6;3;0;1101;2548;3;51;11
137059;Photo;Product;10;5;11;0;2819;5230;1;115;26
137020;Status;Product;10;5;3;1;12468;24917;7;310;61
137020;Photo;Action;10;4;10;0;12776;21893;12;328;90
137020;Photo;Action;10;4;9;1;1357;2453;0;0;0
137020;Photo;Product;10;4;3;0;68896;104952;26;1505;95
137020;Photo;Inspiration;10;3;10;0;1711;3174;2;63;14
137020;Photo;Action;10;3;4;0;1388;2544;0;13;4
137020;Photo;Action;10;2;11;1;2645;5472;4;59;9
137020;Photo;Action;10;2;4;0;70144;111745;42;955;139
137020;Photo;Inspiration;10;1;11;0;3674;7221;9;181;32
136736;Status;Product;10;1;4;0;9504;19556;17;193;28
136736;Photo;Inspiration;10;7;9;0;2426;4469;7;125;16
136736;Status;Product;10;7;3;0;13872;27468;4;217;50
136736;Photo;Action;10;6;10;0;1673;3655;2;28;4
136736;Photo;Action;10;6;8;0;1261;2158;0;;
136736;Photo;Product;10;6;4;0;2428;4510;4;117;18
136642;Photo;Product;10;1;3;1;2227;4070;2;79;16
136642;Photo;Action;10;7;13;0;1592;2749;0;15;2
136642;Photo;Action;10;7;12;1;813;1568;0;4;2
136642;Photo;Action;10;7;12;0;32208;57472;1;431;26
136642;Photo;Action;10;7;11;0;729;1374;0;7;0
136642;Photo;Action;10;7;10;0;834;1570;0;7;2
136393;Photo;Action;10;7;10;0;786;1573;0;6;2
136393;Photo;Action;10;7;9;0;584;1029;0;2;
136393;Status;Product;10;7;9;0;15816;30514;6;186;40
136393;Photo;Action;10;7;8;0;619;1096;1;1;2
136393;Photo;Action;10;7;7;0;617;1071;1;3;2
136393;Photo;Action;10;7;6;0;677;1285;0;7;
136393;Photo;Action;10;7;5;0;677;1240;0;7;2
136393;Photo;Inspiration;10;7;3;0;3366;6647;3;198;41
136393;Photo;Action;10;6;13;0;747;1443;0;9;1
136393;Photo;Action;10;6;13;0;645;1117;0;4;1
136393;Photo;Action;10;6;12;0;754;1510;0;3;0
136393;Photo;Action;10;6;11;0;910;1673;0;8;2
136393;Photo;Action;10;6;9;0;3906;8239;0;7;3
136393;Photo;Action;10;6;9;0;659;1158;1;7;2
136393;Photo;Action;10;6;8;0;652;1331;0;11;1
136393;Photo;Action;10;6;6;0;861;1565;2;28;4
136393;Photo;Action;10;6;2;0;3690;7659;0;56;12
136393;Link;Action;10;5;10;0;4664;9463;0;32;16
136013;Photo;Action;10;5;8;0;1080;2427;4;32;3
136013;Status;Product;10;5;3;0;8896;17202;0;129;25
136013;Photo;Action;10;4;10;1;4018;8617;4;77;19
136013;Link;Action;10;4;3;0;68992;229733;15;143;44
136013;Status;Inspiration;10;3;10;0;13152;25666;2;227;36
136013;Status;Product;10;3;2;1;31136;59964;60;859;90
136013;Photo;Inspiration;10;2;10;1;16776;39549;10;377;60
136013;Photo;Action;10;2;3;1;50736;140432;3;41;9
136013;Photo;Action;10;1;10;1;5324;11040;6;76;14
136013;Photo;Inspiration;10;1;3;0;18120;44940;0;189;15
135713;Photo;Inspiration;10;7;10;0;2291;3960;0;80;14
135713;Status;Product;10;7;4;0;10744;20691;3;148;28
135713;Link;Action;10;6;11;1;3616;6887;0;24;11
135713;Photo;Action;10;6;4;0;39984;112830;24;302;41
135713;Photo;Product;10;5;11;0;4010;7444;2;166;32
135713;Photo;Product;10;5;4;1;6564;12097;47;358;49
135713;Photo;Action;10;4;10;0;8612;20151;7;161;25
135713;Photo;Product;10;4;1;0;5568;10282;13;319;55
135700;Photo;Product;9;3;7;0;1685;2999;0;54;16
135700;Photo;Product;9;2;11;0;3756;7094;16;117;30
135700;Photo;Inspiration;9;2;2;0;2656;4862;1;115;21
135700;Photo;Product;9;1;10;0;5086;9493;30;187;35
135617;Photo;Product;9;1;3;1;2055;3915;1;84;13
135617;Photo;Inspiration;9;7;9;0;9384;14948;6;363;40
135617;Photo;Product;9;7;3;0;3992;7255;6;244;32
135617;Photo;Inspiration;9;6;10;0;7512;13633;22;290;98
135617;Status;Product;9;6;4;0;11096;21080;4;243;41
135428;Photo;Action;9;5;10;0;1060;2004;0;18;
135428;Photo;Product;9;5;3;1;2790;4879;0;113;19
135428;Photo;Action;9;4;10;1;13856;37716;2;77;5
135428;Photo;Inspiration;9;4;2;1;10748;19724;8;485;64
135428;Photo;Action;9;3;10;0;41984;68290;144;1622;208
135428;Photo;Product;9;3;2;1;2522;4583;6;99;16
135195;Photo;Inspiration;9;2;9;0;4480;8039;3;188;26
135195;Photo;Action;9;2;2;0;1543;2874;2;30;6
135195;Status;Product;9;1;10;0;21256;41906;38;163;27
135195;Photo;Action;9;1;4;0;4484;7829;6;179;40
135195;Photo;Product;9;7;3;0;4398;8105;5;204;34
135195;Status;Product;9;6;10;1;13216;24738;2;165;22
135195;Photo;Inspiration;9;6;3;1;22304;37159;29;1047;98
135195;Photo;Action;9;5;11;0;6208;10830;2;234;40
135195;Photo;Product;9;5;2;0;4518;8533;7;250;42
135195;Photo;Product;9;4;10;0;3582;6518;4;154;36
134879;Status;Product;9;4;4;1;9124;17776;20;150;29
134879;Photo;Action;9;3;10;0;14152;38806;4;102;8
134879;Photo;Inspiration;9;3;2;1;4260;7989;1;226;44
134879;Video;Action;9;2;10;0;30624;56950;6;345;121
134879;Photo;Product;9;2;3;0;2363;4223;11;68;11
134879;Photo;Action;9;1;10;0;2232;4005;0;62;10
134879;Photo;Product;9;1;6;0;4048;7217;5;223;35
134879;Photo;Product;9;7;10;0;1804;2968;0;61;6
134879;Photo;Inspiration;9;7;4;1;2351;4028;1;104;12
133679;Photo;Product;9;2;10;0;3100;5388;3;146;15
133679;Photo;Inspiration;9;2;3;1;2360;4004;2;102;15
133679;Photo;Inspiration;8;1;10;0;19648;33643;9;766;43
133679;Photo;Product;8;1;4;0;2295;3721;0;63;7
133594;Photo;Product;8;7;10;1;3934;6330;3;113;17
133594;Photo;Action;8;7;3;0;34512;76659;6;442;42
133594;Photo;Product;8;6;10;0;5282;8730;9;278;43
133594;Photo;Action;8;6;8;0;1809;3130;2;64;7
133594;Photo;Product;8;5;13;0;1920;3124;1;52;7
133451;Photo;Action;8;4;9;1;1954;3530;0;30;2
132817;Photo;Inspiration;8;4;10;0;33536;64850;33;1155;102
132817;Photo;Product;8;4;3;1;4204;7191;2;139;25
132817;Photo;Action;8;3;9;0;3376;6557;0;40;5
132817;Status;Product;8;3;2;1;9236;16054;2;53;15
132817;Photo;Inspiration;8;2;10;0;72864;205934;4;220;19
132817;Photo;Inspiration;8;2;3;0;3358;5682;2;114;16
132201;Photo;Action;8;1;12;1;3254;5644;0;39;3
132201;Photo;Action;8;1;3;0;50640;121234;4;859;68
132201;Photo;Product;8;7;10;0;3734;6218;5;137;20
132201;Photo;Inspiration;8;7;3;0;2594;4220;1;54;11
132201;Photo;Product;8;6;10;1;2232;3772;2;74;22
132201;Photo;Inspiration;8;6;3;1;22120;54734;6;98;3
132201;Photo;Inspiration;8;5;10;0;7980;12978;2;264;21
132201;Photo;Product;8;5;1;0;1659;2845;3;36;11
132201;Photo;Inspiration;8;4;11;1;1006;1594;1;11;3
132201;Photo;Inspiration;8;4;3;1;12728;21685;4;435;31
131956;Photo;Action;8;3;10;0;28880;64746;2;114;10
131956;Photo;Product;8;3;4;0;1330;2327;2;17;9
131956;Status;Product;8;2;12;0;14424;26000;41;15;1
131956;Photo;Action;8;2;7;0;14200;26728;3;87;10
131956;Photo;Inspiration;8;1;12;0;5746;9874;16;227;28
131956;Photo;Product;8;1;4;0;2540;4372;2;86;8
131956;Photo;Inspiration;8;7;10;0;4324;7241;6;179;27
131808;Status;Product;8;7;4;0;8260;14305;1;74;11
131808;Status;Product;8;6;10;1;20168;35904;18;332;54
131808;Photo;Action;8;6;6;0;5046;9084;2;80;21
131808;Status;Product;7;5;14;0;15296;25269;9;95;17
131728;Photo;Inspiration;7;5;8;1;3414;6369;3;188;26
131728;Photo;Action;7;4;10;1;95424;252207;6;109;11
131728;Photo;Product;7;4;3;0;14824;21863;64;367;25
131630;Photo;Product;7;3;13;0;3504;5699;9;102;19
131630;Photo;Inspiration;7;2;23;0;2822;5058;2;113;20
131630;Photo;Inspiration;7;2;13;0;2973;5063;0;94;20
131630;Status;Product;7;2;6;1;10824;20573;6;14;1
131630;Photo;Action;7;1;11;0;4592;6691;1;43;10
131630;Photo;Product;7;1;5;0;3176;5278;1;98;21
131300;Status;Product;7;7;10;0;10956;19279;3;13;1
131300;Photo;Inspiration;7;7;4;0;10888;19744;12;237;45
131300;Photo;Product;7;6;10;0;3594;6316;4;112;23
131300;Photo;Action;7;6;2;0;3384;6166;2;101;25
130791;Photo;Product;7;5;11;1;4096;7200;10;145;31
130791;Photo;Inspiration;7;5;3;0;19968;35161;6;535;83
130791;Photo;Action;7;4;11;0;4892;8499;4;118;22
130791;Status;Product;7;4;6;0;17360;33613;9;484;79
130791;Video;Action;7;3;11;1;21872;40413;18;315;76
130791;Photo;Product;7;3;5;1;180480;319133;372;5172;790
130791;Photo;Action;7;2;13;0;44464;66824;4;154;30
130791;Photo;Product;7;2;8;0;2881;5188;0;73;15
129600;Photo;Product;7;1;12;0;3460;6503;0;96;19
129600;Photo;Inspiration;7;1;6;0;3406;5656;1;98;19
129600;Photo;Product;7;7;11;1;2602;4349;1;53;14
129600;Photo;Action;7;7;6;1;5848;9068;4;71;10
129600;Photo;Action;7;6;11;0;26944;43464;6;194;34
129600;Photo;Inspiration;7;6;5;0;5292;9321;6;226;42
129600;Status;Product;7;5;12;1;15576;27513;11;238;51
129600;Photo;Inspiration;7;5;3;0;54256;82011;10;755;58
129600;Photo;Product;7;4;12;1;3726;6372;30;47;8
129600;Photo;Action;7;4;6;1;31904;50539;2;126;32
129600;Photo;Action;7;3;13;1;40336;65309;4;104;10
129600;Photo;Product;7;3;1;0;4220;7774;10;167;26
129600;Photo;Inspiration;7;2;13;0;4666;8360;9;152;41
129600;Photo;Product;7;2;7;1;4274;7948;0;128;15
129600;Photo;Action;7;1;13;0;28208;41650;13;234;43
128032;Photo;Product;7;1;3;0;3330;5461;2;61;16
128032;Photo;Product;7;7;11;1;3528;5918;0;66;9
128032;Photo;Inspiration;7;7;3;0;38576;55398;7;529;60
128032;Photo;Inspiration;7;6;13;1;2628;4264;3;42;10
128032;Photo;Action;7;6;3;0;7232;12735;2;75;24
128032;Status;Product;7;5;10;0;10188;16978;13;61;13
128032;Photo;Action;7;5;3;0;6408;11881;26;162;7
128032;Photo;Action;7;4;9;1;3414;6050;2;47;4
128032;Photo;Product;7;4;5;1;53056;65260;6;696;28
128032;Photo;Action;7;3;10;1;66976;111502;7;215;47
127082;Photo;Action;7;3;3;1;76096;94644;22;534;31
126424;Photo;Inspiration;7;4;12;0;5458;9098;1;143;27
126424;Photo;Product;7;4;3;0;3706;6194;18;46;7
126424;Status;Product;7;3;13;0;18320;31448;36;98;14
126424;Photo;Inspiration;7;3;4;1;2316;3611;0;25;5
126424;Video;Action;6;2;13;0;139008;277100;23;204;44
126345;Photo;Action;6;2;9;1;5854;11854;11;202;5
126345;Photo;Action;6;2;3;0;109056;191324;7;148;39
126345;Photo;Product;6;1;12;0;3212;4908;1;40;8
126345;Photo;Product;6;1;4;0;3046;4909;1;71;17
126345;Status;Product;6;7;11;0;12044;20327;0;104;13
126141;Photo;Action;6;7;4;1;9652;16968;1;34;4
126141;Photo;Action;6;6;12;0;28112;47721;11;129;12
126141;Status;Product;6;6;4;0;8628;14847;4;72;18
126141;Photo;Action;6;5;11;1;2431;4180;0;15;3
126141;Photo;Action;6;4;22;1;20560;24112;14;102;9
126141;Photo;Action;6;4;12;0;20896;29062;103;469;33
125612;Photo;Action;6;4;11;0;2402;4072;5;57;5
125612;Photo;Action;6;4;7;0;1729;3289;0;23;2
125612;Photo;Product;6;4;3;0;4320;7127;5;141;26
125612;Photo;Action;6;3;11;0;2585;4410;0;19;5
125612;Photo;Product;6;3;3;0;3322;5969;1;71;23
125612;Photo;Action;6;2;13;0;3600;5807;0;72;21
125612;Photo;Action;6;2;2;0;11620;21564;5;54;7
125612;Photo;Inspiration;6;1;14;0;4248;7004;5;93;19
125612;Photo;Inspiration;6;1;3;0;2763;4388;0;62;10
125612;Photo;Product;6;7;11;0;3558;5396;0;78;16
124940;Photo;Action;6;7;4;0;8324;14480;0;14;1
124940;Photo;Product;6;6;9;0;6952;11469;11;231;43
124940;Photo;Inspiration;6;6;2;1;2823;4955;1;72;16
124940;Photo;Action;6;5;13;1;63840;102620;9;197;28
124940;Photo;Inspiration;6;5;3;1;11608;15323;4;330;29
124940;Photo;Action;6;4;12;0;58304;80871;0;148;7
124940;Photo;Inspiration;6;4;2;0;4762;8303;2;208;28
124940;Photo;Product;6;3;13;0;6150;10217;12;148;28
124940;Photo;Inspiration;6;3;3;1;4644;8178;4;154;26
124940;Photo;Inspiration;6;2;13;0;22464;29650;3;142;18
124940;Photo;Inspiration;6;2;3;0;3754;6295;8;107;20
124940;Photo;Action;6;1;13;0;4452;7998;0;22;3
124940;Photo;Inspiration;6;1;3;0;3576;5525;2;84;13
124940;Photo;Inspiration;6;7;10;0;3028;4794;2;59;12
124940;Photo;Inspiration;6;7;3;1;4022;6503;3;65;14
124940;Photo;Action;6;6;12;1;52736;73584;0;24;4
124940;Photo;Inspiration;6;6;4;0;47376;70212;9;186;23
123047;Photo;Inspiration;6;5;12;0;3234;5113;0;58;17
123047;Photo;Product;6;5;3;0;3322;5553;2;74;14
123047;Photo;Inspiration;6;4;13;0;6768;11525;2;180;44
123047;Photo;Product;6;4;5;1;11304;20647;18;168;49
123047;Photo;Action;6;3;11;0;13544;18474;0;36;5
123047;Photo;Inspiration;6;2;13;0;3418;5659;2;51;6
123047;Photo;Inspiration;6;2;5;1;3662;6476;2;67;14
123047;Photo;Inspiration;6;1;10;0;56672;104966;20;1372;47
123047;Photo;Inspiration;6;1;3;1;3294;5499;2;57;6
121540;Photo;Inspiration;6;1;3;0;3110;5405;2;33;10
121540;Photo;Product;5;7;14;0;3806;6486;1;79;17
120050;Photo;Inspiration;5;5;9;1;3776;6736;3;97;22
120050;Photo;Inspiration;5;4;12;0;39040;55633;16;617;58
120050;Photo;Inspiration;5;4;4;1;4032;7278;7;139;34
120050;Photo;Inspiration;5;3;12;0;21248;34095;20;199;32
119198;Photo;Inspiration;5;3;5;0;4344;8025;1;107;26
119198;Photo;Inspiration;5;2;12;0;2718;4698;0;50;10
119198;Photo;Inspiration;5;2;1;0;3024;5630;0;64;20
119198;Status;Product;5;1;2;0;10152;17099;2;55;10
119198;Photo;Product;5;7;2;0;4708;8090;1;142;37
119198;Photo;Inspiration;5;6;14;0;2772;4642;2;72;9
119198;Photo;Inspiration;5;6;6;0;2812;4954;4;79;16
119198;Photo;Inspiration;5;5;10;1;6460;11373;25;244;44
117764;Photo;Action;5;4;10;0;18056;32576;25;307;58
117764;Photo;Inspiration;5;4;4;0;5016;8745;6;212;36
117764;Photo;Inspiration;5;3;11;0;3528;6181;2;95;17
117764;Photo;Product;5;2;11;0;6444;11509;5;194;33
117764;Photo;Inspiration;5;1;13;1;4458;7753;6;101;29
117764;Link;Action;5;1;2;0;12540;19301;3;46;14
117764;Photo;Inspiration;5;7;13;1;4362;7378;3;156;20
117764;Photo;Inspiration;5;7;2;0;38960;65149;37;821;90
117764;Photo;Inspiration;5;6;13;0;3144;5067;1;58;13
117764;Photo;Inspiration;5;6;8;1;4336;7705;12;155;23
117764;Photo;Inspiration;5;5;13;0;81856;124753;45;1639;122
116435;Photo;Product;5;5;9;0;5728;10164;3;155;32
116435;Photo;Inspiration;5;4;13;1;5490;9518;4;166;33
116435;Status;Action;5;4;3;1;23832;42313;6;210;39
116435;Photo;Inspiration;5;3;7;0;18552;25542;4;400;25
116435;Photo;Product;5;2;14;0;4132;7165;2;98;18
116435;Photo;Action;5;2;8;0;4910;9209;12;138;38
116435;Photo;Inspiration;5;1;13;0;4202;7633;3;148;16
116091;Photo;Product;5;1;3;0;5976;10441;2;267;40
116091;Photo;Product;5;7;14;0;5206;8962;1;144;29
116091;Photo;Inspiration;5;7;2;0;6984;12066;25;256;54
116091;Photo;Action;5;6;9;0;6000;10300;3;72;24
116091;Photo;Inspiration;5;6;3;0;3332;5797;0;87;18
116091;Status;Product;5;5;7;0;9232;16811;1;129;36
115893;Photo;Inspiration;4;4;15;1;5212;9035;1;179;30
115893;Photo;Action;4;3;13;0;24264;51899;9;194;33
115368;Photo;Inspiration;4;3;8;0;4280;7594;1;124;32
115368;Photo;Inspiration;4;2;13;0;6692;11859;4;304;47
115368;Photo;Inspiration;4;2;2;1;5594;9586;12;138;39
115368;Photo;Action;4;1;2;0;11336;15350;4;41;9
113028;Photo;Product;4;7;3;1;5582;9903;2;163;35
113028;Photo;Action;4;6;14;0;28352;55202;45;407;76
113028;Status;Product;4;6;3;1;17912;34774;17;447;123
113028;Link;Action;4;5;7;1;35360;45260;7;38;11
113028;Photo;Action;4;5;5;0;9084;15194;2;93;26
113028;Photo;Action;4;4;12;1;6880;11736;0;59;16
111620;Photo;Inspiration;4;4;7;1;12824;18929;0;286;30
111620;Photo;Inspiration;4;3;7;0;6596;9835;0;66;13
111620;Photo;Inspiration;4;2;13;1;7492;12414;8;236;51
111620;Photo;Action;4;2;6;1;44288;60918;2;152;11
111620;Photo;Inspiration;4;1;14;1;105632;147918;51;1998;128
111620;Photo;Action;4;7;14;0;128064;251269;8;186;18
109670;Photo;Inspiration;4;6;20;0;5994;9970;11;235;34
109670;Photo;Action;4;6;13;0;6172;10417;1;64;22
109670;Photo;Inspiration;4;6;3;0;4986;8198;2;92;28
109670;Photo;Action;4;5;13;0;6668;10701;3;53;13
109670;Photo;Inspiration;4;5;7;1;5298;8875;5;140;38
109670;Photo;Action;4;4;3;0;35008;45508;0;48;8
109670;Photo;Action;4;3;13;1;5402;8891;0;112;14
109670;Photo;Action;4;3;8;0;9880;12695;0;35;5
109670;Photo;Action;4;2;13;0;3334;5953;4;37;3
109670;Photo;Inspiration;4;2;2;1;3130;5313;0;48;14
109670;Photo;Product;4;1;13;1;32208;55696;6;766;109
109670;Photo;Action;4;1;2;0;20920;26026;1;96;18
109670;Photo;Inspiration;4;7;14;0;3884;6406;1;57;13
107907;Photo;Inspiration;4;7;13;0;4240;7057;3;114;21
107907;Photo;Action;4;6;9;0;3544;6156;1;51;6
107907;Photo;Inspiration;4;6;3;1;3286;6276;1;87;27
107907;Photo;Action;4;5;9;0;71360;110172;5;81;11
107907;Photo;Inspiration;4;5;3;0;3824;6333;1;71;18
107907;Photo;Inspiration;4;4;13;0;6360;11079;9;164;52
107907;Photo;Inspiration;4;4;5;1;3714;6385;5;91;26
107907;Photo;Action;4;3;13;1;46192;80227;9;329;38
107907;Photo;Action;4;3;4;1;39568;47128;4;128;17
107907;Link;Action;4;2;6;0;70912;94172;1;379;40
107907;Photo;Inspiration;4;1;3;0;4552;7253;1;52;24
107907;Photo;Inspiration;4;7;10;0;4390;7004;1;63;26
107907;Photo;Inspiration;4;7;3;0;4770;7716;2;97;25
106928;Photo;Inspiration;4;6;9;1;2970;4649;2;56;9
106928;Link;Action;4;6;4;0;34192;42092;1;36;7
106928;Photo;Product;4;5;13;0;5302;8769;4;138;26
106928;Photo;Product;4;5;3;0;5560;9301;7;142;24
106928;Photo;Inspiration;4;4;13;0;4406;6769;1;75;15
106928;Photo;Action;4;4;3;1;5290;8132;1;89;14
104070;Photo;Action;3;5;14;1;3696;5824;2;63;16
104070;Photo;Action;3;4;14;1;6030;9579;3;176;29
104070;Photo;Action;3;4;7;0;49632;1110282;7;227;15
104070;Status;Action;3;3;15;0;9120;14759;3;25;6
104070;Photo;Action;3;3;10;0;1874;2474;0;0;0
102112;Photo;Action;3;3;10;0;4122;7073;1;27;11
102112;Photo;Action;3;3;4;0;5080;8238;0;39;14
102112;Photo;Action;3;2;12;0;4068;7333;0;61;13
102112;Photo;Action;3;2;3;0;3272;6079;0;32;7
102112;Photo;Action;3;1;19;0;238;570;0;2;0
102112;Photo;Action;3;1;18;0;3358;5900;8;109;3
102112;Photo;Action;3;1;18;0;6400;11941;0;32;6
102112;Link;Inspiration;3;1;3;0;6876;10885;2;68;15
100732;Photo;Action;3;7;18;0;391;746;0;6;1
100732;Photo;Action;3;7;17;0;10844;22468;4;213;13
100732;Photo;Action;3;7;15;0;5132;9067;0;2;0
100732;Photo;Action;3;7;15;0;3772;6971;0;3;0
100732;Link;Action;3;7;14;0;2933;5144;0;6;0
100732;Photo;Action;3;7;12;0;4094;7469;0;4;0
100732;Photo;Action;3;6;17;0;452;726;0;4;1
100732;Photo;Action;3;6;17;0;11420;23855;12;211;14
100732;Photo;Action;3;6;15;0;5704;10510;1;15;1
100732;Photo;Action;3;6;15;0;7192;12811;11;95;4
100732;Photo;Action;3;6;13;1;9604;16557;16;127;0
100732;Photo;Action;3;6;10;0;122944;457509;0;136;13
98195;Link;Product;3;6;6;0;5730;10083;2;32;15
98195;Photo;Action;3;6;3;0;4898;7960;1;76;9
98195;Photo;Action;3;5;10;0;4118;7355;1;28;7
98195;Photo;Action;3;5;4;1;1845;2670;0;0;0
98195;Photo;Inspiration;3;4;13;0;34480;191207;10;664;97
96749;Photo;Inspiration;3;2;9;0;5338;9940;1;62;10
96749;Photo;Product;3;2;5;0;5312;9411;0;48;20
96749;Photo;Action;3;1;13;1;4412;8070;1;55;7
96749;Photo;Action;3;1;2;1;98816;125026;10;197;21
96749;Photo;Action;3;7;10;1;7220;12735;6;88;24
96749;Photo;Action;3;7;5;1;14320;21958;2;59;6
93684;Photo;Action;2;6;13;1;27056;162816;6;234;26
93577;Photo;Action;2;6;6;0;20528;33000;3;148;21
93470;Photo;Action;2;5;12;0;6416;11459;0;96;29
